OrderID,UserID,OrderDate,TotalAmount,StatusID
1,7,2023-01-01 00:00:00,453.42,4
2,23,2023-01-02 00:00:00,308.79,1
3,80,2023-01-03 00:00:00,239.82,4
4,75,2023-01-04 00:00:00,366.33,2
5,35,2023-01-05 00:00:00,210.74,2
6,41,2023-01-06 00:00:00,487.81,2
7,39,2023-01-07 00:00:00,442.54,4
8,22,2023-01-08 00:00:00,120.49,4
9,35,2023-01-09 00:00:00,357.86,2
10,33,2023-01-10 00:00:00,65.33,2
11,43,2023-01-11 00:00:00,448.34,4
12,45,2023-01-12 00:00:00,430.18,2
13,100,2023-01-13 00:00:00,279.56,1
14,42,2023-01-14 00:00:00,107.46,2
15,28,2023-01-15 00:00:00,329.66,1
16,49,2023-01-16 00:00:00,157.7,3
17,11,2023-01-17 00:00:00,333.89,4
18,69,2023-01-18 00:00:00,362.19,1
19,18,2023-01-19 00:00:00,97.81,4
20,4,2023-01-20 00:00:00,264.63,4
21,95,2023-01-21 00:00:00,313.52,3
22,88,2023-01-22 00:00:00,164.13,2
23,30,2023-01-23 00:00:00,140.45,1
24,31,2023-01-24 00:00:00,337.04,1
25,76,2023-01-25 00:00:00,392.33,1
26,67,2023-01-26 00:00:00,211.6,3
27,94,2023-01-27 00:00:00,369.0,2
28,61,2023-01-28 00:00:00,314.32,4
29,8,2023-01-29 00:00:00,414.32,4
30,52,2023-01-30 00:00:00,141.83,1
31,74,2023-01-31 00:00:00,408.38,4
32,88,2023-02-01 00:00:00,169.88,3
33,65,2023-02-02 00:00:00,184.22,1
34,18,2023-02-03 00:00:00,490.18,1
35,41,2023-02-04 00:00:00,70.71,1
36,22,2023-02-05 00:00:00,135.39,1
37,95,2023-02-06 00:00:00,284.39,3
38,27,2023-02-07 00:00:00,219.2,4
39,16,2023-02-08 00:00:00,158.94,2
40,18,2023-02-09 00:00:00,358.05,2
41,11,2023-02-10 00:00:00,351.16,1
42,18,2023-02-11 00:00:00,483.68,3
43,4,2023-02-12 00:00:00,445.37,2
44,74,2023-02-13 00:00:00,498.85,2
45,30,2023-02-14 00:00:00,213.3,4
46,68,2023-02-15 00:00:00,70.36,1
47,72,2023-02-16 00:00:00,196.38,4
48,81,2023-02-17 00:00:00,273.61,4
49,99,2023-02-18 00:00:00,127.49,1
50,5,2023-02-19 00:00:00,88.28,3
51,62,2023-02-20 00:00:00,253.73,4
52,91,2023-02-21 00:00:00,469.7,2
53,7,2023-02-22 00:00:00,393.42,1
54,33,2023-02-23 00:00:00,190.17,3
55,82,2023-02-24 00:00:00,449.88,3
56,38,2023-02-25 00:00:00,363.77,3
57,28,2023-02-26 00:00:00,258.5,2
58,52,2023-02-27 00:00:00,169.08,4
59,79,2023-02-28 00:00:00,308.99,4
60,60,2023-03-01 00:00:00,137.71,2
61,87,2023-03-02 00:00:00,383.55,2
62,96,2023-03-03 00:00:00,471.62,3
63,9,2023-03-04 00:00:00,346.67,3
64,57,2023-03-05 00:00:00,376.25,4
65,30,2023-03-06 00:00:00,124.02,1
66,29,2023-03-07 00:00:00,386.7,4
67,96,2023-03-08 00:00:00,273.81,4
68,35,2023-03-09 00:00:00,89.32,4
69,59,2023-03-10 00:00:00,223.9,4
70,82,2023-03-11 00:00:00,378.25,1
71,93,2023-03-12 00:00:00,310.19,2
72,17,2023-03-13 00:00:00,187.87,4
73,73,2023-03-14 00:00:00,494.94,2
74,60,2023-03-15 00:00:00,308.31,1
75,8,2023-03-16 00:00:00,475.23,2
76,13,2023-03-17 00:00:00,301.9,1
77,33,2023-03-18 00:00:00,304.1,1
78,85,2023-03-19 00:00:00,73.03,4
79,76,2023-03-20 00:00:00,96.84,1
80,94,2023-03-21 00:00:00,326.5,3
81,41,2023-03-22 00:00:00,379.24,2
82,1,2023-03-23 00:00:00,159.81,4
83,85,2023-03-24 00:00:00,483.79,3
84,93,2023-03-25 00:00:00,383.56,2
85,78,2023-03-26 00:00:00,157.11,3
86,38,2023-03-27 00:00:00,339.99,4
87,48,2023-03-28 00:00:00,202.89,2
88,62,2023-03-29 00:00:00,377.37,2
89,51,2023-03-30 00:00:00,313.07,1
90,69,2023-03-31 00:00:00,390.49,3
91,77,2023-04-01 00:00:00,163.16,3
92,58,2023-04-02 00:00:00,469.53,2
93,5,2023-04-03 00:00:00,496.85,3
94,37,2023-04-04 00:00:00,124.04,2
95,81,2023-04-05 00:00:00,280.81,2
96,83,2023-04-06 00:00:00,438.56,1
97,38,2023-04-07 00:00:00,206.46,2
98,95,2023-04-08 00:00:00,159.19,3
99,36,2023-04-09 00:00:00,378.98,4
100,49,2023-04-10 00:00:00,489.88,1
