CartID,UserID
1,42
2,79
3,17
4,94
5,41
6,37
7,7
8,95
9,73
10,22
11,67
12,88
13,31
14,59
15,42
16,52
17,42
18,94
19,73
20,27
21,96
22,67
23,17
24,61
25,8
26,43
27,31
28,5
29,96
30,39
31,61
32,28
33,42
34,35
35,11
36,96
37,96
38,28
39,33
40,61
41,33
42,91
43,69
44,22
45,38
46,33
47,41
48,35
49,74
50,67
51,59
52,95
53,61
54,95
55,59
56,81
57,88
58,8
59,28
60,85
61,59
62,67
63,82
64,7
65,81
66,60
67,95
68,91
69,35
70,8
71,96
72,41
73,8
74,11
75,31
76,61
77,17
78,4
79,16
80,18
81,39
82,96
83,73
84,100
85,39
86,42
87,91
88,82
89,59
90,60
91,39
92,5
93,22
94,18
95,28
96,13
97,28
98,69
99,42
100,33
