CartItemID,CartID,ProductSizeID,Quantity
1,39,4,3
2,79,89,3
3,81,104,1
4,95,96,2
5,51,16,2
6,14,172,1
7,87,44,4
8,47,43,4
9,100,5,3
10,88,93,2
11,38,175,4
12,94,174,4
13,91,15,4
14,83,115,1
15,87,96,3
16,7,185,3
17,75,76,2
18,44,152,4
19,2,5,3
20,74,103,1
21,91,59,1
22,49,151,1
23,80,30,4
24,18,89,1
25,20,76,4
26,20,63,3
27,66,66,1
28,28,6,4
29,36,57,2
30,10,100,3
31,14,38,3
32,54,140,4
33,71,57,4
34,89,110,3
35,11,12,4
36,44,90,1
37,6,104,4
38,41,104,3
39,16,104,1
40,15,66,4
41,86,40,1
42,1,90,4
43,36,80,3
44,98,127,3
45,15,8,1
46,7,110,3
47,89,5,3
48,4,37,1
49,69,92,1
50,96,192,3
51,28,140,1
52,68,121,1
53,35,67,4
54,42,68,2
55,14,56,3
56,18,104,3
57,41,8,4
58,75,68,3
59,39,107,3
60,43,8,3
61,68,145,1
62,28,50,3
63,61,148,3
64,16,11,2
65,35,131,4
66,51,72,4
67,45,63,1
68,85,66,3
69,53,132,3
70,26,15,3
71,76,103,3
72,45,197,1
73,82,172,2
74,6,152,4
75,84,150,2
76,72,94,3
77,69,43,2
78,96,82,2
79,94,137,4
80,92,36,2
81,33,148,2
82,42,140,2
83,83,37,1
84,30,49,1
85,14,13,1
86,10,152,2
87,55,96,1
88,9,20,2
89,26,59,2
90,34,152,1
91,18,73,3
92,48,181,2
93,17,126,2
94,50,75,4
95,63,26,1
96,72,186,4
97,95,153,2
98,81,12,4
99,87,148,2
100,38,170,4
101,10,118,2
102,47,113,1
103,13,12,4
104,89,93,4
105,23,93,3
106,57,172,3
107,79,73,1
108,46,198,2
109,34,56,3
110,63,96,1
111,5,4,1
112,70,11,2
113,77,132,2
114,42,165,4
115,13,182,4
116,1,92,1
117,70,92,1
118,23,148,1
119,98,143,4
120,50,147,3
121,66,148,2
122,11,115,1
123,71,76,4
124,17,127,4
125,72,43,2
126,28,61,3
127,39,20,1
128,85,50,2
129,42,90,4
130,83,153,3
131,71,5,1
132,39,27,4
133,35,75,4
134,75,92,2
135,41,92,4
136,41,104,1
137,28,118,4
138,95,4,2
139,37,73,2
140,99,11,3
141,60,36,3
142,90,127,4
143,28,12,4
144,57,8,4
145,59,145,3
146,32,127,3
147,49,57,4
148,4,8,3
149,65,140,2
150,38,23,3
151,40,66,2
152,13,179,4
153,85,8,2
154,76,25,1
155,77,169,4
156,92,55,2
157,48,137,2
158,58,100,3
159,22,11,2
160,13,170,3
161,18,56,2
162,40,178,2
163,32,127,3
164,30,50,1
165,56,174,2
166,66,75,2
167,38,36,4
168,1,139,3
169,24,33,3
170,14,170,1
171,9,132,4
172,85,55,1
173,54,110,1
174,83,53,2
175,81,5,2
176,14,51,3
177,9,103,4
178,7,127,3
179,28,53,4
180,38,176,3
181,36,74,1
182,41,147,1
183,27,191,1
184,95,73,2
185,77,90,4
186,58,68,4
187,46,76,2
188,81,140,4
189,59,89,3
190,24,13,1
191,73,72,2
192,81,165,1
193,19,113,4
194,75,176,2
195,16,38,4
196,89,37,1
197,65,37,4
198,4,12,2
199,91,8,4
200,21,175,2
