ProductSizeID,ProductID,SizeID,StockQuantity
101,185,170,78
102,116,162,33
103,166,188,56
104,153,167,49
105,170,120,76
106,167,137,87
107,190,118,36
108,129,122,34
109,120,178,27
110,118,127,97
111,106,133,11
112,180,109,55
113,111,109,68
114,130,121,31
115,118,169,27
116,182,183,66
117,147,155,43
118,108,186,53
119,118,194,85
120,187,175,12
121,162,190,93
122,165,124,36
123,108,195,36
124,130,191,62
125,156,114,65
126,129,112,17
127,200,143,72
128,144,111,41
129,199,189,89
130,156,125,86
131,106,148,56
132,151,169,97
133,193,144,80
134,164,192,79
135,153,114,65
136,135,107,97
137,199,103,95
138,184,168,84
139,178,194,25
140,138,105,24
141,190,129,66
142,155,136,97
143,105,183,11
144,144,178,94
145,112,147,85
146,130,179,86
147,177,107,28
148,190,192,72
149,133,181,55
150,151,121,75
151,152,124,62
152,143,164,38
153,124,200,97
154,190,172,48
155,144,107,30
156,189,122,61
157,196,165,69
158,129,151,74
159,165,191,24
160,187,110,62
161,159,193,54
162,189,168,26
163,152,186,74
164,123,134,40
165,111,172,92
166,132,109,20
167,110,152,55
168,107,134,98
169,131,200,88
170,168,162,69
171,119,108,52
172,113,160,74
173,174,142,15
174,175,128,86
175,192,152,65
176,166,141,52
177,186,172,30
178,154,146,98
179,143,195,78
180,107,110,28
181,110,189,59
182,137,147,93
183,188,159,25
184,160,122,27
185,109,155,71
186,154,101,17
187,188,120,74
188,119,120,65
189,122,186,12
190,168,128,14
191,115,198,26
192,121,122,87
193,186,195,78
194,110,119,40
195,143,168,62
196,167,136,94
197,121,196,46
198,117,130,69
199,159,123,41
200,178,157,45
201,143,111,42
202,136,143,60
203,176,173,61
204,129,132,15
205,186,113,43
206,135,183,10
207,145,108,19
208,193,188,41
209,183,109,45
210,109,162,98
211,131,124,70
212,165,135,48
213,178,195,21
214,119,104,54
215,139,156,53
216,112,169,17
217,157,116,72
218,153,125,66
219,184,195,62
220,177,163,34
221,169,127,53
222,126,199,61
223,200,148,20
224,170,188,59
225,132,136,28
226,160,117,20
227,163,188,71
228,130,191,49
229,167,179,16
230,133,188,17
231,172,158,89
232,161,125,22
233,194,156,10
234,173,150,13
235,128,153,61
236,198,125,25
237,194,116,77
238,169,168,91
239,139,174,69
240,161,147,76
241,198,121,25
242,110,167,71
243,168,195,74
244,179,113,29
245,164,126,54
246,121,101,97
247,136,198,71
248,156,199,31
249,129,178,10
250,146,112,73
251,193,191,94
252,157,125,11
253,152,155,94
254,105,148,70
255,180,178,86
256,176,141,32
257,132,160,24
258,177,196,34
259,153,180,56
260,139,190,42
261,184,132,90
262,181,157,80
263,175,134,64
264,171,139,34
265,127,193,87
266,158,121,99
267,131,115,45
268,200,110,67
269,165,168,41
270,139,182,49
271,119,180,24
272,196,104,58
273,142,148,23
274,196,171,29
275,158,143,25
276,149,106,51
277,143,121,45
278,153,158,35
279,123,160,61
280,165,155,44
281,171,178,32
282,162,125,43
283,161,159,71
284,197,180,88
285,128,137,17
286,101,181,42
287,127,159,13
288,151,152,77
289,121,164,67
290,127,174,56
291,166,184,99
292,178,189,31
293,119,183,94
294,161,156,68
295,183,179,74
296,160,171,50
297,163,128,88
298,139,124,88
299,124,154,72
300,169,170,72
